Untitled Adhoc Report,,
Product:LIQUID HAND SOAP,,
Geography,Time,Unit Sales
Alabama - Multi Outlet,Week Ending 12-08-19,99159.44218
Alabama - Multi Outlet,Week Ending 12-15-19,95507.70327
Alabama - Multi Outlet,Week Ending 12-22-19,99804.09352
Alabama - Multi Outlet,Week Ending 12-29-19,107691.0301
Alabama - Multi Outlet,Week Ending 01-05-20,98978.62876
Alabama - Multi Outlet,Week Ending 01-12-20,102973.4043
Alabama - Multi Outlet,Week Ending 01-19-20,92589.81962
Alabama - Multi Outlet,Week Ending 01-26-20,88196.24819
Alabama - Multi Outlet,Week Ending 02-02-20,95827.78983
Alabama - Multi Outlet,Week Ending 02-09-20,110884.1734
Alabama - Multi Outlet,Week Ending 02-16-20,101365.2511
Alabama - Multi Outlet,Week Ending 02-23-20,93872.42519
Alabama - Multi Outlet,Week Ending 03-01-20,125634.6083
Alabama - Multi Outlet,Week Ending 03-08-20,209665.2079
Alabama - Multi Outlet,Week Ending 03-15-20,411283.898
Alabama - Multi Outlet,Week Ending 03-22-20,305026.7512
Arizona - Multi Outlet,Week Ending 12-08-19,175998.0572
Arizona - Multi Outlet,Week Ending 12-15-19,167564.481
Arizona - Multi Outlet,Week Ending 12-22-19,167818.7938
Arizona - Multi Outlet,Week Ending 12-29-19,163422.4572
Arizona - Multi Outlet,Week Ending 01-05-20,184163.7967
Arizona - Multi Outlet,Week Ending 01-12-20,207027.4891
Arizona - Multi Outlet,Week Ending 01-19-20,167620.2901
Arizona - Multi Outlet,Week Ending 01-26-20,165441.9668
Arizona - Multi Outlet,Week Ending 02-02-20,181486.0761
Arizona - Multi Outlet,Week Ending 02-09-20,188082.9576
Arizona - Multi Outlet,Week Ending 02-16-20,182861.7468
Arizona - Multi Outlet,Week Ending 02-23-20,179978.1165
Arizona - Multi Outlet,Week Ending 03-01-20,229203.7148
Arizona - Multi Outlet,Week Ending 03-08-20,398955.4751
Arizona - Multi Outlet,Week Ending 03-15-20,594835.4278
Arizona - Multi Outlet,Week Ending 03-22-20,400540.3392
Arkansas - Multi Outlet,Week Ending 12-08-19,58712.67122
Arkansas - Multi Outlet,Week Ending 12-15-19,55424.10075
Arkansas - Multi Outlet,Week Ending 12-22-19,55341.94788
Arkansas - Multi Outlet,Week Ending 12-29-19,58618.72269
Arkansas - Multi Outlet,Week Ending 01-05-20,55358.33772
Arkansas - Multi Outlet,Week Ending 01-12-20,59269.55322
Arkansas - Multi Outlet,Week Ending 01-19-20,51361.30766
Arkansas - Multi Outlet,Week Ending 01-26-20,50894.13435
Arkansas - Multi Outlet,Week Ending 02-02-20,58552.30202
Arkansas - Multi Outlet,Week Ending 02-09-20,66576.1527
Arkansas - Multi Outlet,Week Ending 02-16-20,59697.25998
Arkansas - Multi Outlet,Week Ending 02-23-20,58111.07954
Arkansas - Multi Outlet,Week Ending 03-01-20,69145.83256
Arkansas - Multi Outlet,Week Ending 03-08-20,108941.5258
Arkansas - Multi Outlet,Week Ending 03-15-20,239271.3183
Arkansas - Multi Outlet,Week Ending 03-22-20,183698.1935
California - Multi Outlet,Week Ending 12-08-19,588683.6844
California - Multi Outlet,Week Ending 12-15-19,550018.9203
California - Multi Outlet,Week Ending 12-22-19,546918.2167
California - Multi Outlet,Week Ending 12-29-19,526318.301
California - Multi Outlet,Week Ending 01-05-20,597495.2851
California - Multi Outlet,Week Ending 01-12-20,575409.9085
California - Multi Outlet,Week Ending 01-19-20,552580.1916
California - Multi Outlet,Week Ending 01-26-20,556576.3637
California - Multi Outlet,Week Ending 02-02-20,609402.8273
California - Multi Outlet,Week Ending 02-09-20,630993.8799
California - Multi Outlet,Week Ending 02-16-20,592452.1863
California - Multi Outlet,Week Ending 02-23-20,621615.3074
California - Multi Outlet,Week Ending 03-01-20,971331.9999
California - Multi Outlet,Week Ending 03-08-20,1679407.864
California - Multi Outlet,Week Ending 03-15-20,2242738.176
California - Multi Outlet,Week Ending 03-22-20,1520108.547
Colorado - Multi Outlet,Week Ending 12-08-19,126606.9268
Colorado - Multi Outlet,Week Ending 12-15-19,123706.846
Colorado - Multi Outlet,Week Ending 12-22-19,120771.9184
Colorado - Multi Outlet,Week Ending 12-29-19,115132.6194
Colorado - Multi Outlet,Week Ending 01-05-20,130300.5046
Colorado - Multi Outlet,Week Ending 01-12-20,144362.4662
Colorado - Multi Outlet,Week Ending 01-19-20,118206.9168
Colorado - Multi Outlet,Week Ending 01-26-20,118847.9215
Colorado - Multi Outlet,Week Ending 02-02-20,127079.8936
Colorado - Multi Outlet,Week Ending 02-09-20,125337.779
Colorado - Multi Outlet,Week Ending 02-16-20,129261.8252
Colorado - Multi Outlet,Week Ending 02-23-20,130746.1319
Colorado - Multi Outlet,Week Ending 03-01-20,180653.2058
Colorado - Multi Outlet,Week Ending 03-08-20,377083.0105
Colorado - Multi Outlet,Week Ending 03-15-20,501905.67
Colorado - Multi Outlet,Week Ending 03-22-20,285377.1525
Connecticut - Multi Outlet,Week Ending 12-08-19,73768.98539
Connecticut - Multi Outlet,Week Ending 12-15-19,71747.20112
Connecticut - Multi Outlet,Week Ending 12-22-19,70670.35803
Connecticut - Multi Outlet,Week Ending 12-29-19,74392.11761
Connecticut - Multi Outlet,Week Ending 01-05-20,75901.28728
Connecticut - Multi Outlet,Week Ending 01-12-20,76287.06645
Connecticut - Multi Outlet,Week Ending 01-19-20,76993.57662
Connecticut - Multi Outlet,Week Ending 01-26-20,74910.5615
Connecticut - Multi Outlet,Week Ending 02-02-20,74554.56975
Connecticut - Multi Outlet,Week Ending 02-09-20,81625.09937
Connecticut - Multi Outlet,Week Ending 02-16-20,73248.46697
Connecticut - Multi Outlet,Week Ending 02-23-20,74319.03872
Connecticut - Multi Outlet,Week Ending 03-01-20,107198.6717
Connecticut - Multi Outlet,Week Ending 03-08-20,212539.2404
Connecticut - Multi Outlet,Week Ending 03-15-20,312453.4234
Connecticut - Multi Outlet,Week Ending 03-22-20,223270.9974
Delaware - Multi Outlet,Week Ending 12-08-19,22463.85215
Delaware - Multi Outlet,Week Ending 12-15-19,19759.32472
Delaware - Multi Outlet,Week Ending 12-22-19,18282.19827
Delaware - Multi Outlet,Week Ending 12-29-19,19467.43656
Delaware - Multi Outlet,Week Ending 01-05-20,20834.90631
Delaware - Multi Outlet,Week Ending 01-12-20,19140.1783
Delaware - Multi Outlet,Week Ending 01-19-20,19089.62887
Delaware - Multi Outlet,Week Ending 01-26-20,19552.64249
Delaware - Multi Outlet,Week Ending 02-02-20,19375.58207
Delaware - Multi Outlet,Week Ending 02-09-20,20472.91731
Delaware - Multi Outlet,Week Ending 02-16-20,20812.05868
Delaware - Multi Outlet,Week Ending 02-23-20,20031.98848
Delaware - Multi Outlet,Week Ending 03-01-20,25618.35318
Delaware - Multi Outlet,Week Ending 03-08-20,50790.56217
Delaware - Multi Outlet,Week Ending 03-15-20,96725.94738
Delaware - Multi Outlet,Week Ending 03-22-20,66413.07319
Florida - Multi Outlet,Week Ending 12-08-19,442720.5775
Florida - Multi Outlet,Week Ending 12-15-19,458670.6956
Florida - Multi Outlet,Week Ending 12-22-19,474960.5016
Florida - Multi Outlet,Week Ending 12-29-19,510475.6468
Florida - Multi Outlet,Week Ending 01-05-20,537098.8821
Florida - Multi Outlet,Week Ending 01-12-20,464690.3462
Florida - Multi Outlet,Week Ending 01-19-20,486529.5207
Florida - Multi Outlet,Week Ending 01-26-20,429582.6259
Florida - Multi Outlet,Week Ending 02-02-20,474353.6738
Florida - Multi Outlet,Week Ending 02-09-20,568838.834
Florida - Multi Outlet,Week Ending 02-16-20,503764.8057
Florida - Multi Outlet,Week Ending 02-23-20,493743.3941
Florida - Multi Outlet,Week Ending 03-01-20,764356.743
Florida - Multi Outlet,Week Ending 03-08-20,1324953.951
Florida - Multi Outlet,Week Ending 03-15-20,1650490.236
Florida - Multi Outlet,Week Ending 03-22-20,1349488.293
Georgia - Multi Outlet,Week Ending 12-08-19,215217.5412
Georgia - Multi Outlet,Week Ending 12-15-19,209365.0438
Georgia - Multi Outlet,Week Ending 12-22-19,221799.9626
Georgia - Multi Outlet,Week Ending 12-29-19,223186.1926
Georgia - Multi Outlet,Week Ending 01-05-20,221831.0961
Georgia - Multi Outlet,Week Ending 01-12-20,244611.2118
Georgia - Multi Outlet,Week Ending 01-19-20,212058.4415
Georgia - Multi Outlet,Week Ending 01-26-20,198771.159
Georgia - Multi Outlet,Week Ending 02-02-20,216424.9766
Georgia - Multi Outlet,Week Ending 02-09-20,240527.5855
Georgia - Multi Outlet,Week Ending 02-16-20,232361.4117
Georgia - Multi Outlet,Week Ending 02-23-20,221978.563
Georgia - Multi Outlet,Week Ending 03-01-20,308377.528
Georgia - Multi Outlet,Week Ending 03-08-20,566672.524
Georgia - Multi Outlet,Week Ending 03-15-20,850087.8212
Georgia - Multi Outlet,Week Ending 03-22-20,678033.692
Idaho - Multi Outlet,Week Ending 12-08-19,28876.97925
Idaho - Multi Outlet,Week Ending 12-15-19,28829.26064
Idaho - Multi Outlet,Week Ending 12-22-19,29597.38561
Idaho - Multi Outlet,Week Ending 12-29-19,28095.6225
Idaho - Multi Outlet,Week Ending 01-05-20,28202.90354
Idaho - Multi Outlet,Week Ending 01-12-20,31615.79293
Idaho - Multi Outlet,Week Ending 01-19-20,24936.88039
Idaho - Multi Outlet,Week Ending 01-26-20,26310.2877
Idaho - Multi Outlet,Week Ending 02-02-20,27590.44761
Idaho - Multi Outlet,Week Ending 02-09-20,28444.78604
Idaho - Multi Outlet,Week Ending 02-16-20,28854.859
Idaho - Multi Outlet,Week Ending 02-23-20,28117.79945
Idaho - Multi Outlet,Week Ending 03-01-20,40837.60477
Idaho - Multi Outlet,Week Ending 03-08-20,78622.23939
Idaho - Multi Outlet,Week Ending 03-15-20,120934.1816
Idaho - Multi Outlet,Week Ending 03-22-20,64642.0934
Illinois - Multi Outlet,Week Ending 12-08-19,281585.0509
Illinois - Multi Outlet,Week Ending 12-15-19,266385.6866
Illinois - Multi Outlet,Week Ending 12-22-19,260420.4599
Illinois - Multi Outlet,Week Ending 12-29-19,256850.9934
Illinois - Multi Outlet,Week Ending 01-05-20,267029.3032
Illinois - Multi Outlet,Week Ending 01-12-20,267290.943
Illinois - Multi Outlet,Week Ending 01-19-20,247696.0362
Illinois - Multi Outlet,Week Ending 01-26-20,242815.9932
Illinois - Multi Outlet,Week Ending 02-02-20,273756.2224
Illinois - Multi Outlet,Week Ending 02-09-20,284681.5054
Illinois - Multi Outlet,Week Ending 02-16-20,266979.8808
Illinois - Multi Outlet,Week Ending 02-23-20,273195.7726
Illinois - Multi Outlet,Week Ending 03-01-20,373969.4309
Illinois - Multi Outlet,Week Ending 03-08-20,614398.6669
Illinois - Multi Outlet,Week Ending 03-15-20,1141392.083
