Province/State,Week Ending,Unit Sales
Alabama ,12-08-19,99159.44218
Alabama ,12-15-19,95507.70327
Alabama ,12-22-19,99804.09352000001
Alabama ,12-29-19,107691.0301
Alabama ,01-05-20,98978.62876
Alabama ,01-12-20,102973.4043
Alabama ,01-19-20,92589.81962000001
Alabama ,01-26-20,88196.24819
Alabama ,02-02-20,95827.78983
Alabama ,02-09-20,110884.1734
Alabama ,02-16-20,101365.2511
Alabama ,02-23-20,93872.42519
Alabama ,03-01-20,125634.6083
Alabama ,03-08-20,209665.2079
Alabama ,03-15-20,411283.898
Alabama ,03-22-20,305026.7512
Arizona ,12-08-19,175998.0572
Arizona ,12-15-19,167564.481
Arizona ,12-22-19,167818.7938
Arizona ,12-29-19,163422.4572
Arizona ,01-05-20,184163.7967
Arizona ,01-12-20,207027.4891
Arizona ,01-19-20,167620.2901
Arizona ,01-26-20,165441.9668
Arizona ,02-02-20,181486.0761
Arizona ,02-09-20,188082.9576
Arizona ,02-16-20,182861.7468
Arizona ,02-23-20,179978.1165
Arizona ,03-01-20,229203.7148
Arizona ,03-08-20,398955.4751
Arizona ,03-15-20,594835.4278
Arizona ,03-22-20,400540.3392
Arkansas ,12-08-19,58712.671220000004
Arkansas ,12-15-19,55424.10075
Arkansas ,12-22-19,55341.94787999999
Arkansas ,12-29-19,58618.722689999995
Arkansas ,01-05-20,55358.33772
Arkansas ,01-12-20,59269.55322
Arkansas ,01-19-20,51361.307660000006
Arkansas ,01-26-20,50894.13435
Arkansas ,02-02-20,58552.30202
Arkansas ,02-09-20,66576.1527
Arkansas ,02-16-20,59697.259979999995
Arkansas ,02-23-20,58111.07954
Arkansas ,03-01-20,69145.83256
Arkansas ,03-08-20,108941.5258
Arkansas ,03-15-20,239271.3183
Arkansas ,03-22-20,183698.1935
California ,12-08-19,588683.6844
California ,12-15-19,550018.9203
California ,12-22-19,546918.2167
California ,12-29-19,526318.301
California ,01-05-20,597495.2851
California ,01-12-20,575409.9085
California ,01-19-20,552580.1916
California ,01-26-20,556576.3637
California ,02-02-20,609402.8273
California ,02-09-20,630993.8799
California ,02-16-20,592452.1863
California ,02-23-20,621615.3074
California ,03-01-20,971331.9999
California ,03-08-20,1679407.864
California ,03-15-20,2242738.176
California ,03-22-20,1520108.5469999998
Colorado ,12-08-19,126606.9268
Colorado ,12-15-19,123706.84599999999
Colorado ,12-22-19,120771.9184
Colorado ,12-29-19,115132.6194
Colorado ,01-05-20,130300.5046
Colorado ,01-12-20,144362.4662
Colorado ,01-19-20,118206.9168
Colorado ,01-26-20,118847.9215
Colorado ,02-02-20,127079.8936
Colorado ,02-09-20,125337.77900000001
Colorado ,02-16-20,129261.8252
Colorado ,02-23-20,130746.1319
Colorado ,03-01-20,180653.2058
Colorado ,03-08-20,377083.0105
Colorado ,03-15-20,501905.67
Colorado ,03-22-20,285377.1525
Connecticut ,12-08-19,73768.98539
Connecticut ,12-15-19,71747.20112
Connecticut ,12-22-19,70670.35802999999
Connecticut ,12-29-19,74392.11761
Connecticut ,01-05-20,75901.28727999999
Connecticut ,01-12-20,76287.06645
Connecticut ,01-19-20,76993.57662
Connecticut ,01-26-20,74910.5615
Connecticut ,02-02-20,74554.56975
Connecticut ,02-09-20,81625.09937000001
Connecticut ,02-16-20,73248.46697000001
Connecticut ,02-23-20,74319.03872000001
Connecticut ,03-01-20,107198.6717
Connecticut ,03-08-20,212539.2404
Connecticut ,03-15-20,312453.4234
Connecticut ,03-22-20,223270.9974
Delaware ,12-08-19,22463.85215
Delaware ,12-15-19,19759.32472
Delaware ,12-22-19,18282.198269999997
Delaware ,12-29-19,19467.43656
